Anomalous failure?,H,T,S,B,L,H*T,T*S,H*T*S,H*L,CEIL(L/T),HBM_FREQ,KERNEL_FREQ,BUILD_SUCCESS,LUT,FF,BRAM,URAM,DSP,SLOTS_USED
0,10,7,5,16,4,70,35,350,40,1,450,225,1,0.4137,0.2254,0.2919,0.1563,0.1888,5
0,10,7,6,16,4,70,42,420,40,1,450,225,1,0.4837,0.2702,0.2909,0.1563,0.2265,6
0,10,7,7,16,4,70,49,490,40,1,450,224,1,0.5811,0.3227,0.2919,0.1563,0.2642,6
0,10,8,6,16,4,80,48,480,40,1,450,225,1,0.4734,0.268,0.2463,0.125,0.1999,6
0,10,8,7,16,4,80,56,560,40,1,450,225,1,0.5741,0.3222,0.2473,0.125,0.2332,6
0,10,8,8,16,4,80,64,640,40,1,-1,-1,0,0,0,0,0,0,6
0,10,9,7,16,4,90,63,630,40,1,-1,-1,0,0,0,0,0,0,6
1,10,9,8,16,4,90,72,720,40,1,-1,-1,0,0,0,0,0,0,6
0,10,9,9,16,4,90,81,810,40,1,-1,-1,0,0,0,0,0,0,6
0,11,6,4,16,4,66,24,264,44,1,450,225,1,0.3323,0.1837,0.3326,0.1375,0.1662,4
0,11,6,5,16,4,66,30,330,44,1,450,225,1,0.4096,0.2237,0.3326,0.1375,0.2077,5
0,11,6,6,16,4,66,36,396,44,1,450,225,1,0.4791,0.2682,0.3326,0.1375,0.2491,6
0,11,7,5,16,4,77,35,385,44,1,450,225,1,0.4443,0.241,0.3108,0.1719,0.2077,5
0,11,7,6,16,4,77,42,462,44,1,450,225,1,0.5224,0.2906,0.3108,0.1719,0.2491,6
0,11,7,7,16,4,77,49,539,44,1,450,224,1,0.6277,0.3466,0.3098,0.1719,0.2906,6
0,11,8,6,16,4,88,48,528,44,1,450,225,1,0.5107,0.2874,0.2617,0.1375,0.2199,6
0,11,8,7,16,4,88,56,616,44,1,450,210,1,0.6194,0.3461,0.2617,0.1375,0.2564,6
1,11,8,8,16,4,88,64,704,44,1,-1,-1,0,0,0,0,0,0,6
1,11,9,7,16,4,99,63,693,44,1,-1,-1,0,0,0,0,0,0,6
1,11,9,8,16,4,99,72,792,44,1,-1,-1,0,0,0,0,0,0,6
1,11,9,9,16,4,99,81,891,44,1,-1,-1,0,0,0,0,0,0,6
0,3,10,9,16,16,30,90,270,48,2,450,212,1,0.387,0.222,0.25,0.175,0.102,5
0,3,10,9,16,25,30,90,270,75,3,450,214,1,0.393,0.222,0.324,0.25,0.102,6
0,3,10,9,16,30,30,90,270,90,3,450,206,1,0.395,0.222,0.366,0.3,0.102,4
0,3,10,9,16,35,30,90,270,105,4,450,202,1,0.397,0.222,0.411,0.35,0.102,4
0,3,10,9,16,40,30,90,270,120,4,337,174,1,0.393,0.218,0.452,0.4,0.09,4
0,3,11,9,16,16,33,99,297,48,2,450,210,1,0.412,0.234,0.238,0.168,0.102,5
0,3,11,9,16,25,33,99,297,75,3,450,205,1,0.415,0.234,0.312,0.281,0.102,5
0,3,11,9,16,30,33,99,297,90,3,450,199,1,0.417,0.234,0.345,0.309,0.102,4
0,3,11,9,16,35,33,99,297,105,4,450,189,1,0.42,0.234,0.386,0.365,0.102,4
0,3,11,9,16,40,33,99,297,120,4,-1,-1,0,0,0,0,0,0,4
0,4,10,9,16,16,40,90,360,64,2,450,217,1,0.48,0.271,0.297,0.233,0.136,6
0,4,10,9,16,20,40,90,360,80,2,450,210,1,0.477,0.266,0.337,0.266,0.12,6
0,4,10,9,16,25,40,90,360,100,3,450,214,1,0.487,0.271,0.397,0.333,0.136,6
0,4,10,9,16,30,40,90,360,120,3,450,176,1,0.489,0.271,0.452,0.4,0.136,6
0,4,10,9,16,35,40,90,360,140,4,-1,-1,0,0,0,0,0,0,5
0,4,11,9,16,16,44,99,396,64,2,450,215,1,0.512,0.288,0.282,0.225,0.136,6
0,4,11,9,16,20,44,99,396,80,2,450,215,1,0.511,0.288,0.325,0.3,0.136,6
0,4,11,9,16,25,44,99,396,100,3,450,185,1,0.518,0.288,0.381,0.375,0.136,6
0,4,11,9,16,30,44,99,396,120,3,-1,-1,0,0,0,0,0,0,6
0,4,11,9,16,35,44,99,396,140,4,334,178,1,0.524,0.287,0.48,0.487,0.136,5
0,5,9,9,16,16,45,81,405,80,2,450,210,1,0.536,0.3,0.375,0.291,0.17,6
0,5,9,9,16,20,45,81,405,100,3,450,204,1,0.539,0.3,0.434,0.328,0.17,6
0,5,9,9,16,23,45,81,405,115,3,440,207,1,0.538,0.3,0.484,0.401,0.17,6
0,5,9,9,16,26,45,81,405,130,3,450,179,1,0.542,0.299,0.532,0.437,0.17,6
0,5,9,9,16,30,45,81,405,150,4,-1,-1,0,0,0,0,0,0,6
1,5,10,9,16,16,50,90,450,80,2,-1,-1,0,0,0,0,0,0,6
1,5,10,9,16,20,50,90,450,100,2,-1,-1,0,0,0,0,0,0,6
1,5,10,9,16,23,50,90,450,115,3,-1,-1,0,0.579,0.322,0.449,0.416,0.17,6
0,5,10,9,16,26,50,90,450,130,3,450,206,1,0.578,0.321,0.489,0.458,0.17,6
0,5,10,9,16,30,50,90,450,150,3,450,184,1,0.584,0.32,0.538,0.5,0.17,6
0,6,9,8,16,16,54,72,432,96,2,450,211,1,0.531,0.295,0.424,0.35,0.181,6
0,6,9,8,16,18,54,72,432,108,2,450,203,1,0.524,0.289,0.448,0.35,0.16,6
0,6,9,8,16,20,54,72,432,120,3,450,201,1,0.534,0.296,0.496,0.393,0.181,6
0,6,9,8,16,24,54,72,432,144,3,450,199,1,0.537,0.296,0.573,0.481,0.181,6
0,6,9,8,16,30,54,72,432,180,4,-1,-1,0,0,0,0,0,0,6
0,6,10,8,16,16,60,80,480,96,2,450,210,1,0.564,0.316,0.389,0.35,0.181,6
0,6,10,8,16,18,60,80,480,108,2,450,208,1,0.565,0.316,0.424,0.4,0.181,6
0,6,10,8,16,20,60,80,480,120,2,450,212,1,0.561,0.31,0.448,0.4,0.16,6
0,6,10,8,16,24,60,80,480,144,3,450,198,1,0.572,0.316,0.532,0.5,0.181,6
0,6,10,8,16,30,60,80,480,180,3,450,185,1,0.578,0.316,0.621,0.6,0.181,6
0,7,8,8,16,12,56,64,448,84,2,450,202,1,0.556,0.309,0.409,0.262,0.211,6
0,7,8,8,16,16,56,64,448,112,2,450,209,1,0.515,0.288,0.505,0.35,0.186,6
0,7,8,8,16,18,56,64,448,126,3,450,202,1,0.561,0.309,0.56,0.393,0.211,6
0,7,8,8,16,20,56,64,448,140,3,450,193,1,0.564,0.309,0.61,0.437,0.211,6
0,7,8,8,16,24,56,64,448,168,3,450,153,1,0.557,0.309,0.706,0.525,0.211,-1
1,7,10,8,16,12,70,80,560,84,2,-1,-1,0,0,0,0,0,0,6
